event_id,y,m,d,h,discharge
3,1971,12,6,10,57.365807
3,1971,12,6,11,55.760548
3,1971,12,6,12,54.097753
3,1971,12,6,13,52.427186
3,1971,12,6,14,50.776411
3,1971,12,6,15,49.152281
4,1976,9,22,9,4.973109
4,1976,9,22,10,6.557369
4,1976,9,22,11,9.683262
4,1976,9,22,12,12.211250
4,1976,9,22,13,16.032689
4,1976,9,22,14,21.816479
4,1976,9,22,15,27.475834
4,1976,9,22,16,35.046603
4,1976,9,22,17,45.478393
4,1976,9,22,18,58.325637
4,1976,9,22,19,75.672656
4,1976,9,22,20,95.338788
4,1976,9,22,21,116.450008
4,1976,9,22,22,141.226454
4,1976,9,22,23,164.306301
4,1976,9,23,0,185.678248
4,1976,9,23,1,203.343183
4,1976,9,23,2,216.475645
4,1976,9,23,3,224.846515
4,1976,9,23,4,228.356134
4,1976,9,23,5,227.312701
4,1976,9,23,6,222.332828
4,1976,9,23,7,214.282295
4,1976,9,23,8,204.138855
4,1976,9,23,9,192.799674
4,1976,9,23,10,182.090698
4,1976,9,23,11,173.449914
4,1976,9,23,12,166.410565
4,1976,9,23,13,162.862636
4,1976,9,23,14,161.615259
4,1976,9,23,15,162.121010
4,1976,9,23,16,164.057977
4,1976,9,23,17,166.067260
4,1976,9,23,18,167.672044
4,1976,9,23,19,168.356503
4,1976,9,23,20,167.845622
4,1976,9,23,21,166.020751
4,1976,9,23,22,162.883757
4,1976,9,23,23,159.049024
4,1976,9,24,0,154.801021
4,1976,9,24,1,150.377725
4,1976,9,24,2,145.782805
4,1976,9,24,3,141.212753
4,1976,9,24,4,137.089832
4,1976,9,24,5,133.945018
4,1976,9,24,6,131.506509
4,1976,9,24,7,130.240686
4,1976,9,24,8,129.529017
4,1976,9,24,9,129.710279
4,1976,9,24,10,130.151771
4,1976,9,24,11,130.907050
4,1976,9,24,12,132.381889
4,1976,9,24,13,133.836800
4,1976,9,24,14,135.386135
4,1976,9,24,15,136.402687
4,1976,9,24,16,136.459502
4,1976,9,24,17,135.920539
4,1976,9,24,18,135.543366
4,1976,9,24,19,134.647463
4,1976,9,24,20,133.283367
4,1976,9,24,21,130.884190
4,1976,9,24,22,127.455250
4,1976,9,24,23,123.233551
4,1976,9,25,0,118.531884
4,1976,9,25,1,113.588211
4,1976,9,25,2,108.573949
4,1976,9,25,3,103.620355
4,1976,9,25,4,99.038195
4,1976,9,25,5,94.777111
4,1976,9,25,6,90.804833
4,1976,9,25,7,86.939133
4,1976,9,25,8,83.178656
4,1976,9,25,9,79.581868
4,1976,9,25,10,76.182864
4,1976,9,25,11,72.991361
4,1976,9,25,12,69.998744
4,1976,9,25,13,67.184640
4,1976,9,25,14,64.525302
4,1976,9,25,15,62.000654
4,1976,9,25,16,59.597761
4,1976,9,25,17,57.315159
4,1976,9,25,18,55.167014
4,1976,9,25,19,53.163024
4,1976,9,25,20,51.339251
4,1976,9,25,21,49.601479
4,1976,9,25,22,47.962323
5,1982,2,28,22,4.623041
5,1982,2,28,23,6.060843
5,1982,3,1,0,8.009389
5,1982,3,1,1,10.003633
5,1982,3,1,2,12.078918
5,1982,3,1,3,14.526766
5,1982,3,1,4,17.368876
5,1982,3,1,5,20.439743
5,1982,3,1,6,23.431729
5,1982,3,1,7,26.054232
5,1982,3,1,8,28.189528
5,1982,3,1,9,29.812015
5,1982,3,1,10,31.062446
5,1982,3,1,11,32.103910
5,1982,3,1,12,33.038250
5,1982,3,1,13,33.898480
5,1982,3,1,14,34.668337
5,1982,3,1,15,35.305737
5,1982,3,1,16,35.947069
5,1982,3,1,17,38.269640
5,1982,3,1,18,40.414967
5,1982,3,1,19,44.866477
5,1982,3,1,20,49.711583
5,1982,3,1,21,55.034455
5,1982,3,1,22,60.364186
5,1982,3,1,23,65.719689
5,1982,3,2,0,71.222587
5,1982,3,2,1,76.740811
5,1982,3,2,2,81.871882
5,1982,3,2,3,86.277083
5,1982,3,2,4,89.637459
5,1982,3,2,5,91.698045
5,1982,3,2,6,92.342419
5,1982,3,2,7,91.800359
5,1982,3,2,8,90.751094
5,1982,3,2,9,89.501906
5,1982,3,2,10,89.184443
5,1982,3,2,11,90.434433
5,1982,3,2,12,93.543999
5,1982,3,2,13,97.751429
5,1982,3,2,14,103.922523
5,1982,3,2,15,110.899541
5,1982,3,2,16,118.524006
5,1982,3,2,17,125.789589
5,1982,3,2,18,133.173196
5,1982,3,2,19,143.905905
5,1982,3,2,20,156.974697
5,1982,3,2,21,171.677012
5,1982,3,2,22,184.723630
5,1982,3,2,23,195.173027
5,1982,3,3,0,202.943321
5,1982,3,3,1,208.260370
5,1982,3,3,2,211.110517
5,1982,3,3,3,211.345902
5,1982,3,3,4,208.890393
5,1982,3,3,5,203.893450
5,1982,3,3,6,196.759778
5,1982,3,3,7,188.071871
5,1982,3,3,8,178.464973
5,1982,3,3,9,168.513443
5,1982,3,3,10,158.684453
5,1982,3,3,11,149.991870
5,1982,3,3,12,143.135999
5,1982,3,3,13,138.862746
5,1982,3,3,14,136.471117
5,1982,3,3,15,135.920523
5,1982,3,3,16,136.812467
5,1982,3,3,17,138.490091
5,1982,3,3,18,140.957837
5,1982,3,3,19,143.566073
5,1982,3,3,20,145.869542
5,1982,3,3,21,147.555408
5,1982,3,3,22,148.309004
5,1982,3,3,23,147.824799
5,1982,3,4,0,145.952996
5,1982,3,4,1,142.723528
5,1982,3,4,2,138.344002
5,1982,3,4,3,133.143995
5,1982,3,4,4,127.480998
5,1982,3,4,5,121.681275
5,1982,3,4,6,115.999731
5,1982,3,4,7,110.660253
5,1982,3,4,8,105.724080
5,1982,3,4,9,101.196110
5,1982,3,4,10,96.961409
5,1982,3,4,11,92.934224
5,1982,3,4,12,89.114221
5,1982,3,4,13,85.518531
5,1982,3,4,14,82.135184
5,1982,3,4,15,78.970621
5,1982,3,4,16,76.056201
5,1982,3,4,17,73.583485
5,1982,3,4,18,71.233082
5,1982,3,4,19,69.156978
5,1982,3,4,20,67.136290
5,1982,3,4,21,65.181730
